label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,note,compound,compoundId,expectedRtDiff,ppmDiff,parent,24_154,24_155,24_156,24_157,24_158,24_159,24_160,24_161,24_162,24_163,24_164,24_165,24_166,24_167,24_168,24_169,24_170,24_171,24_172,24_173,24_174,24_175,24_176,24_177,24_178,24_179,24_180,24_181,24_182,24_183,24_184,24_185,24_186,24_187,24_188,24_189,24_190,24_191,24_192,24_193,24_194,24_195,24_196,24_197,24_198,24_199,24_200,24_201,24_202,24_203,24_204,24_205,24_206,24_207,blank1,blank2,blank3,blank4,blank5,blank6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,0,1,54,171.0859,4.476235,0.8510584,,1-Methyl-Histidine,C01152,-1,11832.96,171.0859,1109366,228443.5,1110043,121310.2,508738.6,896597.6,761148.5,1004858,71331.4,716779.1,52601.39,780221.1,988541.2,506181.6,714304.9,155216.2,652691.6,940299.2,908062.1,510371.6,1162024,809487.2,1148373,1184908,947966.8,850057.8,156922.4,296053.8,242646.5,347622.7,183994.1,479081.5,1112271,1141530,116999.9,1058449,179296.7,1475392,710613,491315.2,523720.3,824588.7,782571,1031628,811269.4,40198.9,1044280,563696.8,795936.1,86120.55,716622.8,301426.2,847216.1,566303.2,38923.38,12916.35,20370.42,1539.384,641.739,410.5453
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,0,2,41,172.0892,4.457421,0.8427275,,1-Methyl-Histidine,C01152,-1,17766.91,172.0892,35550.87,7109.55,34695.07,1577.542,27036.64,45498.94,29655.36,29658.53,524.732,22898.09,527.097,33457.04,38463.48,23823.71,33219.37,3178.106,34853.28,36686.02,31937.63,18944.74,43952.38,32281.28,42490.97,41777.39,38061.62,36588.61,2239.501,16257.01,7819.054,20826.79,2046.503,20256.17,39527.46,44207.89,3152.265,46764.32,2403.646,55018.82,36293.55,17311.03,25409.03,30451.78,30571.23,43211.81,33832.53,405.8768,38818.8,30553.76,30023.81,1232.348,28108.41,9247.948,37330.92,19568.18,0,0,603.8102,402.2955,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,0,3,45,115.0395,12.63278,0.7568231,,2-keto-isovalerate,C00141,-1,8684.494,115.0395,7399936,404467.6,8062036,175108.4,572315.8,1489064,744701.9,7650652,140224.9,7015530,77578.8,1494553,7462768,1021138,1737022,182138.5,1382815,1639805,6573692,673025,9131904,1225858,7952534,6492548,7655710,999613.8,137049.9,1098792,300031.7,603616.4,151785.7,1236886,3038830,1724504,149070.3,5833006,662278.8,4466328,1370217,846472.5,1582632,1148316,1360963,1383904,3775813,36090.92,9369782,1293646,2942714,129205.2,5204790,502365.2,1637840,2337498,1.38E+07,1.42E+07,1.52E+07,65529.99,48676.07,47535.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,0,4,12,116.043,12.5115,0.8218922,,2-keto-isovalerate,C00141,-1,37.01377,116.043,93013.77,9569.584,114648,2175.506,2043.776,21210.09,10023.53,99800.47,801.714,42145.32,305.7764,10992.52,57354.66,23186.41,12249.18,4885.599,8685.627,3469.537,41759.31,2312.564,112998.5,3172.336,111032.4,60236.06,96120.66,13040.67,955.6994,18107.57,1018.143,14279.56,7921.384,9153.898,55227.25,29436.03,2328.594,55584.58,2713.521,31981.8,28755.07,12948.26,2187.932,17982.45,7829.084,12535.48,55873.05,357.4426,138223.6,5795.999,13653.47,691.2838,97829.74,11614.12,24984.3,8954.029,264458.9,298354.9,303845.9,508.7839,638.246,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,0,5,26,918.1879,12.20498,0.8440667,,3-hydroxy-3-methylglutaryl-CoA-nega,C00356,-1,7715.895,918.1879,1285255,89687.75,1418571,99501.75,102980.8,933989.6,1051373,164234.7,77896.91,1132934,141074.5,1084841,1442923,511117.6,379379.5,180392.2,623044.2,1174258,200030.6,305621.4,156509.2,666452.2,566694.7,958193,140770.2,517700.5,177037.7,108507.9,439140.5,648197.9,37922.87,468834.3,686139.8,996817.8,43765.07,742665.2,216484.1,827676.3,434370,743717.6,151879.8,279239.6,614147.7,427840.8,761653.3,111910.5,1271368,868964.3,948817.4,59589.2,319786.6,140614.8,1033988,295242.7,0,0,0,0,561.987,0
