label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,note,compound,compoundId,expectedRtDiff,ppmDiff,parent,24_100,24_101,24_102,24_103,24_104,24_105,24_106,24_107,24_108,24_109,24_110,24_111,24_112,24_113,24_114,24_115,24_116,24_117,24_118,24_119,24_120,24_121,24_122,24_123,24_124,24_125,24_126,24_127,24_128,24_129,24_130,24_131,24_132,24_133,24_134,24_135,24_136,24_137,24_138,24_139,24_140,24_141,24_142,24_143,24_144,24_145,24_146,24_147,24_148,24_149,24_150,24_151,24_152,24_153,blank1,blank2,blank3,blank4,blank5,blank6
g,0,1,50,344.0724,2.657552,0.8457865,,thiamine-phosphate,C01081,-1,2915.843,344.0724,1889.535,2355.318,1811.067,3705.915,4560.881,2459.195,3072.757,4044.643,2953.617,3765.847,4011.544,4058.99,2427.336,3591.201,1999.639,1580.969,3205.733,2072.817,1701.04,2498.389,3248.543,1591.21,1373.859,1891.639,1839.831,2523.043,2139.084,3480.325,3866.688,2953.952,5623.397,4722.971,3161.543,6519.417,2688.884,3068.118,3962.923,3637.057,3111.526,5157.49,4395.734,1388.728,3765.642,4010.039,2037.439,1905.319,5665.289,1981.555,2013.808,3224.904,2389.745,2666.457,2583.91,3682.725,0,0,0,0,0,0
g,0,2,49,345.0622,6.972872,0.847192,,thiamine-phosphate,C01081,-1,47.57888,345.0622,16317,10487.52,9654.134,8642.319,17959.55,15693.43,14482.27,19596.92,12466.09,19862.47,10689.94,16746.53,15812.49,16812.06,13473.58,21230.31,19611.14,7938.789,3333.707,13332.38,5456.895,5407.19,9388.477,12672.71,4119.577,5710.339,17140.13,8529.093,22807.69,12880.36,17536.62,19492.31,20827.02,11159.66,25054.15,11497.71,15977.26,18385.2,9860.352,19383.5,18516.59,18888.64,11708.54,20998.21,18751.87,12005.14,25097.64,11956.41,21991.26,18266.83,19801.27,19888.37,16174.83,21127.73,0,0,0,0,0,0
g,0,3,54,347.06,6.971569,0.8508339,,thiamine-phosphate,C01081,-1,5741.834,347.06,37188.57,33832.67,25595.72,23634.42,31679.47,33191.66,39237.42,42918.06,34293.19,39108.75,34895.41,30898.1,32315.51,29914.87,30496.76,39158.95,38659.13,29846.44,26616.37,29365.17,27091.42,33504.59,29428.98,23767.76,25501.14,24024.17,39788.64,33448.55,49435.98,32542.81,35369.13,37527.33,38323.21,31853.4,47891.44,37360.92,36399.96,35542.18,33273.79,36333.92,38773.83,34385.12,37025.8,35457.04,33547.8,33224.75,48670.75,37416.91,46962.01,34814.58,39465.46,39567.94,37046.57,44830.07,399.4315,0,0,0,0,0
g,0,4,54,362.0517,6.989762,0.8507809,,GMP,C06193,-1,2771.781,362.0517,71005.85,66445.28,60636.89,60675.79,67960.5,60234.76,82422.58,68090.23,66343.88,68095,69290.37,64517.67,58775.49,62278.27,69801.45,72801.3,67579.09,60463.39,60032.52,61797.23,56207.39,65056.54,60918.47,59271.19,57115.52,59804.36,80372.79,63904,79594.91,55932.96,68448.04,68396.68,71700.13,63014.33,88377.15,71463.57,70238.02,67350.05,63801.58,67356.9,64120.51,62331.05,67419.59,71474.91,67093.22,66106.55,79598.02,68569.54,88931.66,63972.07,73126.27,68798.31,59186.86,73534.24,405.1211,229.6588,0,0,0,0
g,0,5,50,363.0545,6.972024,0.8460708,,GMP,C06193,-1,9.582501,363.0545,6188.821,7262.549,7233.796,6010.072,2973.493,5791.535,9629.104,7080.885,7743.882,8126.471,7283.793,8039.73,6204.626,6432.833,8462.074,5671.612,7413.42,6808.812,7068.329,7638.802,5380.682,6106.557,7586.869,5625.561,5475.724,7519.064,9404.832,6843.388,5436.082,7503.999,6840.92,7513.178,4949.287,6941.536,3922.561,7241.766,5378.013,8353.989,3160.463,6651.734,8826.935,9535.979,5279.557,7349.517,7027.261,6842.542,9269.895,8003.804,6979.285,6815.284,3969.778,6078.965,5336.606,9254.321,0,0,0,0,0,0
g,0,6,54,364.0496,6.975504,0.8476713,,GMP,C06193,-1,2731.265,364.0496,35982.02,31157.83,29737.41,25104.52,32809.3,29727.15,40382.84,30183.22,29602.86,28669.7,32792.43,28790.21,33577.4,29767.97,30624.48,35205.5,29439.49,30883.2,31095.39,29549.12,22748.58,28863.06,30405.65,27927.27,26541.99,25874.59,33211.98,29166.5,40395.77,27549.61,30447.08,33384.24,31125.95,30921.34,38341.21,29262.01,32297.79,30901.98,29824.44,31733.87,29575.91,28645.05,31241.18,32682.8,31448.65,30833.9,36734.99,33224.93,39350.32,29617.34,34705.65,27029.39,32075.58,36907.79,0,0,0,0,0,0
g,0,7,53,611.1444,11.40728,0.8514628,,glutathione disulfide,C00127,-1,1645.945,611.1444,308869.9,6618.65,5570.406,231889.1,6519.239,6897.455,180111.1,8808.684,5199.017,326118.5,3345.377,3300.633,20062.08,7023.793,2404.747,59576.75,6064.919,2635.236,114180.7,8303.384,3557.668,272717.1,6373.504,4320.434,115229.7,6786.234,3706.027,490994.8,8546.255,2081.695,121195.4,10053.09,5606.504,261467.8,7863.709,4166.761,567112.1,6942.845,5087.119,189405.7,4312.645,3289.69,529428.1,8317.468,5466.141,281224,2903.49,2632.054,568665.3,6474.502,3899.971,768445.7,3586.99,2853.45,0,0,280.6882,404.27,255.0712,357.7581
g,0,8,25,612.1471,11.40748,0.8508003,,glutathione disulfide,C00127,-1,7.976471,612.1471,59404.56,884.4575,1471.079,46953.39,1169.919,1424.255,36569.16,1872.597,521.3327,66426,223.9201,355.4201,3665.462,629.7314,295.9215,11621.17,1043.276,189.2068,21767.6,1184.715,345.7254,53089.78,971.481,749.7812,23541.13,724.061,700.1541,87758.91,509.393,264.4343,26825.43,1580.403,358.9443,46567.29,1300.35,339.6433,107548.2,399.1154,625.7458,35504.07,325.7109,322.0615,98962.93,1117,335.9312,51035.52,960.9273,328.1677,107314.9,1188.955,393.9015,176776.3,300.2114,261.8715,0,0,299.0858,0,0,0
g,0,9,17,613.1398,11.41756,0.8502146,,glutathione disulfide,C00127,-1,1613.64,613.1398,16985.6,0,310.8212,13465.01,261.7915,0,11351.65,524.0225,942.9162,19206.87,0,224.8843,1372.831,0,0,2947.569,678.9817,0,8629.169,499.6357,255.819,18174.96,525.207,0,8587.927,519.1985,241.3869,35181.75,789.9724,409.135,8153.293,272.8916,239.1464,20558.42,264.382,0,44157.64,413.6244,0,17404.15,0,0,36725.22,299.7201,284.9693,35369.32,0,261.5343,66000.6,330.5544,455.7559,84693.05,306.7748,407.1379,0,0,0,0,0,0
g,0,10,15,614.1414,11.41512,0.8463348,,glutathione disulfide,C00127,-1,3249.814,614.1414,4197.234,0,0,3681.977,0,0,1698.255,0,0,4034.419,0,0,0,0,0,268.1515,0,0,1616.051,0,0,4170.475,0,0,1657.065,0,0,7512.074,0,0,1086.747,0,0,2888.042,0,0,8945.847,0,0,3601.312,0,0,7603.588,0,0,10650.6,0,317.1476,18441.16,254.983,0,19376.62,0,306.3814,0,0,0,0,0,0
