compound,medMz,compoundId,parent,24_100,24_101,24_102,24_103,24_104,24_105,24_106,24_107,24_108,24_109,24_110,24_111,24_112,24_113,24_114,24_115,24_116,24_117,24_118,24_119,24_120,24_121,24_122,24_123,24_124,24_125,24_126,24_127,24_128,24_129,24_130,24_131,24_132,24_133,24_134,24_135,24_136,24_137,24_138,24_139,24_140,24_141,24_142,24_143,24_144,24_145,24_146,24_147,24_148,24_149,24_150,24_151,24_152,24_153,blank1,blank2,blank3,blank4,blank5,blank6
1-Methyladenosine,280.1036,C02494,280.1036,32195.61,116411.1,83478.76,23053.04,113059,93366.5,27604.65,117914.5,80990.95,35130.78,83003.41,58193.24,20030.22,90477.77,57023.09,13728.1,76781.83,39810.43,32167.32,98190.37,52704.61,31731.27,117482.8,93760.65,25012.79,109975.1,65958.7,30519.84,135649.2,99455.08,28324.66,143113.9,101291.7,30464.26,123055,94715.63,29266.81,112537.4,86415.79,20182.91,112295.6,97921.15,40214.88,125906.9,92934.12,30120.99,94210.69,81666.06,41478.08,116351,87243.87,27535.56,116879.4,84786.55,521.5294,0,0,0,0,659.3383
2-Hydroxy-2-methylbutanedioic acid,147.0296,2-Hydroxy-2-methylbutanedioic acid,147.0296,3166170,1541951,2176711,7708336,2928066,2599412,8158766,662986.9,3797399,8865669,2328664,1404729,4033714,3045888,1382597,5182801,1369882,1316566,4787730,388456.4,1171509,2212238,1141114,973939.1,5375836,1244649,759415.1,7672886,2160363,2075980,4922842,801310.7,1773481,9529168,3022583,1526721,7236623,1044140,1198577,1285211,2753750,1150348,9913273,1613965,1060130,3837496,2128603,915492.1,3228128,1066323,2473344,2609961,940351.4,1490957,87493.8,186670.1,228228.1,141832.2,66741.75,85476.88
3-phosphoglycerate,184.9865,C00197,184.9865,77749.77,6848.205,6540.655,64309.55,9129.793,2312.237,85498.72,7155.396,15209.35,48515.77,2667.282,13161.26,29483.89,8313.891,0,79326.94,4244.636,5289.351,59487.25,0,0,57747.34,11452.7,6771.747,50704.31,0,0,74058.77,8833.896,0,124873.6,18318.83,7263.137,147495.9,16115.15,3110.576,90558.91,4064.726,4442.39,222894.9,59524.77,11008.66,71857.37,0,3713.419,44671.6,13782.21,3433.061,100365.9,0,7484.25,30094.69,0,6721.351,6674.805,8370.336,3642.706,3276.236,5019.77,4554.409
5-methoxytryptophan,233.0941,HMDB02339,233.0941,95892.77,515.2654,0,81433.05,0,675.0361,81965.68,0,737.5983,68504.66,652.3051,0,9263.994,0,583.566,29203.23,0,0,62766.73,0,0,70150.47,0,552.6508,79353.73,0,0,81876.86,0,0,85429.09,0,537.8677,70702.09,0,692.6434,87295.14,0,0,63825.4,0,569.154,102643.6,612.0777,0,50377.85,0,697.5322,90963.68,0,0,78561.13,0,0,824.6976,0,926.4568,0,0,493.5505
5-phosphoribosyl-1-pyrophosphate,388.9446,C00119,388.9446,555799.8,435770.3,482879.6,526215.3,528280,522344.2,675848.4,468221.7,542854.8,532262,534174.1,471582.8,423502.9,536237.1,512947.1,514988.5,501672.7,505099,502166.2,528958.3,523237.5,548681.8,495047.2,516991.8,560225.6,529583.9,636236.9,576594,626660.5,596348.8,651205.8,519175.2,515658.2,604254.4,661918.3,526290.9,579965.8,548016,500867.9,630121.7,533784.7,510978.2,527817.5,537739.5,466379.2,538861.5,647818.8,473702.2,581564.8,476353.3,559314.5,500156.6,495597.5,612179.1,0,0,0,0,0,0
a-ketoglutarate,145.0139,C00026,145.0139,3513868,729704.8,560822.8,2576038,377434.5,374235.1,4120034,785707.1,373649.3,1121456,596264.9,1040115,1835269,320690.3,648926.5,3113681,696342.4,639800.8,1965110,762629.6,535829.3,2981352,840146.2,592975.6,491286,1020533,467200.9,930941.8,1415407,321398.9,933550.1,956570.4,595891.5,1216188,1028061,484325.4,1397571,391338.9,433758.3,880235.5,506318.4,1099362,1612968,1220847,908837.4,1621827,324712.3,743436.8,5159364,1201503,1794106,3921885,1254135,271378.8,117781.7,56487.08,38769.62,23309.86,19970.96,21534.46
acadesine,258.0857,D02742,258.0857,584.5327,0,0,0,0,0,2508.984,718.5762,0,0,2540.465,639.6078,0,727.5209,0,0,2130.34,0,1647.022,2065.027,0,0,838.858,700.2424,0,690.0078,0,0,5537.367,6597.456,0,14537.02,913.6228,0,8687.133,2122.823,2642.971,15837.03,0,1832.83,26282.38,19646.3,0,6523.579,798.9279,4010.112,29220.32,18061.55,27433.86,43140.42,12571.92,22463.9,58338.24,13354.8,0,0,0,0,0,0
acadesine,259.0862,D02742,259.0862,8196.817,3872.15,8204.177,5337.655,7313.719,12105.99,10426.88,5697.412,7490.864,4060.764,6336.875,3776.206,1036.177,6135.485,853.9885,879.9956,2446.898,9044.267,3715.754,10903.52,720.9348,2075.955,8127.318,3802.196,4636.667,5226.553,14795.28,931.2503,8242.636,9107.437,7638.684,16332.18,4599.229,6281.603,2118.525,3332.683,19799.51,14343.15,15703.14,4449.282,38262.76,47947.43,5540.632,7320.284,8053.833,18176.13,31040.93,48925.46,59159.79,72909.96,49738.93,36783.36,89458.81,36407.02,793.1432,789.0387,0,0,1349.625,0
acadesine,260.0779,D02742,260.0779,17498.52,11880.8,13669.87,16252.31,4605.701,11101.53,14433.98,6574.292,0,8677.054,10994.57,4095.757,0,9274.815,0,5438.34,2059.543,4370.47,9496.371,12047.57,7517.001,10387.71,10913.32,9118.998,12245.99,8340.265,5779.403,6309.767,11138.24,7994.585,6159.562,10262.84,9495.08,11323.06,10098.78,21062.98,13528.95,6003.449,6736.921,2628.057,9155.312,10822.93,10266.35,10131.33,13565.61,3716.252,8449.333,1748.788,14030.37,9771.213,6789.396,9912.576,4519.059,14325.6,1312.774,0,0,612.9584,0,0
acadesine,261.0742,D02742,261.0742,51195.53,121758.6,67775.58,118269.8,101155.8,69253.58,133273.4,141901.1,74595.62,134936.6,160467.2,100938.3,158011.7,72815.06,88865.98,58532.31,160441.5,87787.12,105280,130106.7,63827.62,138816.6,107941.7,216218.3,133646,68201.79,145695.5,63637.45,77674.33,260502.5,64895.34,84253.75,127622.6,92286.95,156605.9,158555.5,101644.5,182963.3,49745.23,110656.3,45930.87,30520.02,60400.84,241628.9,105962.7,111284.8,106369.3,50553.05,82581.93,69113.56,83379.95,56905.94,116054.6,120815.3,16046.15,801.0206,0,0,0,729.7996
