"","compound","treatment","sample.type","mean.k","sd.k","mean.A","sd.A"
"1","1-Methyladenosine","15N","BBD",NA,NA,NA,NA
"2","1-Methyladenosine","15N","HBBD",NA,NA,NA,NA
"3","1-Methyladenosine","15N","SML",NA,NA,NA,NA
"4","2-Hydroxy-2-methylbutanedioic acid","15N","BBD",NA,NA,NA,NA
"5","2-Hydroxy-2-methylbutanedioic acid","15N","HBBD",NA,NA,NA,NA
"6","2-Hydroxy-2-methylbutanedioic acid","15N","SML",NA,NA,NA,NA
"7","3-phosphoglycerate","15N","BBD",NA,NA,NA,NA
"8","3-phosphoglycerate","15N","HBBD",NA,NA,NA,NA
"9","3-phosphoglycerate","15N","SML",NA,NA,NA,NA
"10","5-methoxytryptophan","15N","BBD",NA,NA,NA,NA
"11","5-methoxytryptophan","15N","HBBD",NA,NA,NA,NA
"12","5-methoxytryptophan","15N","SML",NA,NA,NA,NA
"13","5-phosphoribosyl-1-pyrophosphate","15N","BBD",NA,NA,NA,NA
"14","5-phosphoribosyl-1-pyrophosphate","15N","HBBD",NA,NA,NA,NA
"15","5-phosphoribosyl-1-pyrophosphate","15N","SML",NA,NA,NA,NA
"16","a-ketoglutarate","15N","BBD",NA,NA,NA,NA
"17","a-ketoglutarate","15N","HBBD",NA,NA,NA,NA
"18","a-ketoglutarate","15N","SML",NA,NA,NA,NA
"19","acadesine","15N","BBD",0.00497731216946425,0.00177308140222053,0.259416994041219,0.0585743700647886
"20","acadesine","15N","HBBD",0.00313382910073943,0.00434154020124976,0.208776880008733,0.0508181416187577
"21","acadesine","15N","SML",-0.000978134226010074,0.00210007076736614,0.238491956480798,0.0515319609978795
"22","adenine","15N","BBD",-0.00281527975882086,0.00423738949054907,0.37182222886722,0.0527523229964162
"23","adenine","15N","HBBD",NA,NA,NA,NA
"24","adenine","15N","SML",NA,NA,NA,NA
"25","adenosine 5--phosphosulfate","15N","BBD",NA,NA,NA,NA
"26","adenosine 5--phosphosulfate","15N","HBBD",NA,NA,NA,NA
"27","adenosine 5--phosphosulfate","15N","SML",NA,NA,NA,NA
"28","ADP","15N","BBD",NA,NA,NA,NA
"29","ADP","15N","HBBD",NA,NA,NA,NA
"30","ADP","15N","SML",NA,NA,NA,NA
"31","ADP-D-glucose","15N","BBD",NA,NA,NA,NA
"32","ADP-D-glucose","15N","HBBD",NA,NA,NA,NA
"33","ADP-D-glucose","15N","SML",NA,NA,NA,NA
"34","allantoin","15N","BBD",NA,NA,NA,NA
"35","allantoin","15N","HBBD",NA,NA,NA,NA
"36","allantoin","15N","SML",NA,NA,NA,NA
"37","arginine","15N","BBD",-0.00099501478457543,0.00161973155241854,0.778941792880745,0.0360725120615612
"38","arginine","15N","HBBD",-0.00145231689128669,0.00263979240045161,0.839869794712885,0.112608749389205
"39","arginine","15N","SML",0.000899936575173737,0.00536404399351842,0.645006347619367,0.14721097170006
"40","aspartate","15N","BBD",0.00303502259031462,0.000783978858891604,0.931318502416752,0.0160828085264369
"41","aspartate","15N","HBBD",0.00200174354172713,0.000675832200519706,0.928587374085436,0.00683935421550262
"42","aspartate","15N","SML",0.00285666363910621,0.000656899108020579,0.926319204022697,0.0262459107203139
"43","Carbamoyl phosphate","15N","BBD",NA,NA,NA,NA
"44","Carbamoyl phosphate","15N","HBBD",NA,NA,NA,NA
"45","Carbamoyl phosphate","15N","SML",NA,NA,NA,NA
"46","Citraconic acid","15N","BBD",NA,NA,NA,NA
"47","Citraconic acid","15N","HBBD",NA,NA,NA,NA
"48","Citraconic acid","15N","SML",NA,NA,NA,NA
