"","compound","treatment","sample.type","mean.k","sd.k","mean.A","sd.A"
"1","1-Methyladenosine","Acetate","BBD",NA,NA,NA,NA
"2","1-Methyladenosine","Acetate","HBBD",NA,NA,NA,NA
"3","1-Methyladenosine","Acetate","SML",NA,NA,NA,NA
"4","3-methylphenylacetic acid","Acetate","BBD",0.00400217508292669,0.00252630618358721,0.433909057998822,0.0759569795982647
"5","3-methylphenylacetic acid","Acetate","HBBD",-0.00763925779162941,NA,0.0860909580985639,NA
"6","3-methylphenylacetic acid","Acetate","SML",NA,NA,NA,NA
"7","3-phosphoglycerate","Acetate","BBD",NA,NA,NA,NA
"8","3-phosphoglycerate","Acetate","HBBD",NA,NA,NA,NA
"9","3-phosphoglycerate","Acetate","SML",NA,NA,NA,NA
"10","3-S-methylthiopropionate","Acetate","BBD",NA,NA,NA,NA
"11","3-S-methylthiopropionate","Acetate","HBBD",NA,NA,NA,NA
"12","3-S-methylthiopropionate","Acetate","SML",NA,NA,NA,NA
"13","5-methoxytryptophan","Acetate","BBD",NA,NA,NA,NA
"14","5-methoxytryptophan","Acetate","HBBD",NA,NA,NA,NA
"15","5-methoxytryptophan","Acetate","SML",NA,NA,NA,NA
"16","5-phosphoribosyl-1-pyrophosphate","Acetate","BBD",-0.000102735169958684,0.000261323576126885,0.917000032400555,0.00978346814995613
"17","5-phosphoribosyl-1-pyrophosphate","Acetate","HBBD",0.000219328534762614,0.00015178991278325,0.913541490905441,0.0137768790190365
"18","5-phosphoribosyl-1-pyrophosphate","Acetate","SML",0.000281781359052784,0.000267502834282115,0.925879661832199,0.00903097744289096
"19","6-phospho-D-gluconate","Acetate","BBD",-9.21960518326979e-05,2.37139251707278e-05,0.952779657869576,0.00684007502737454
"20","6-phospho-D-gluconate","Acetate","HBBD",2.34473641130609e-05,0.000251277614472023,0.943963464734037,0.00851946836459469
"21","6-phospho-D-gluconate","Acetate","SML",-6.35249364956985e-05,6.35379526349488e-05,0.959047799765791,0.0023108448829639
"22","a-ketoglutarate","Acetate","BBD",0.00205344404195024,0.00178659220204776,0.726105165216898,0.0820942622729234
"23","a-ketoglutarate","Acetate","HBBD",0.00104500858564115,0.00106880340530355,0.936237120255732,0.0648960804776465
"24","a-ketoglutarate","Acetate","SML",0.000964121433975854,0.000612731406671062,0.966981224033849,0.00563987549859871
"25","ADP-D-glucose","Acetate","BBD",-0.00214458394310373,0.000130809280511217,0.774368173875241,0.0183083052803882
"26","ADP-D-glucose","Acetate","HBBD",NA,NA,NA,NA
"27","ADP-D-glucose","Acetate","SML",NA,NA,NA,NA
"28","allantoate","Acetate","BBD",NA,NA,NA,NA
"29","allantoate","Acetate","HBBD",NA,NA,NA,NA
"30","allantoate","Acetate","SML",NA,NA,NA,NA
"31","Ascorbic acid","Acetate","BBD",0.0104410776189276,0.00372320633358498,0.71342524613939,0.0901821704822551
"32","Ascorbic acid","Acetate","HBBD",-0.00735211211859651,0.019950587190571,0.240834132339025,0.253549973536675
"33","Ascorbic acid","Acetate","SML",-0.00504160844986567,0.015212147858584,0.219396419523755,0.0296871546123423
"34","asparagine","Acetate","BBD",NA,NA,NA,NA
"35","asparagine","Acetate","HBBD",NA,NA,NA,NA
"36","asparagine","Acetate","SML",NA,NA,NA,NA
"37","aspartate","Acetate","BBD",0.00116274173106105,0.000263063461560663,0.95855074786869,0.0095626417896466
"38","aspartate","Acetate","HBBD",0.000152678912204487,4.71114638542428e-06,0.984778094724245,0.00115437033703914
