sample,treatment,replicate,time,sample.type
24_154,glucose,1,0,BBD
24_155,glucose,1,0,HBBD
24_156,glucose,1,0,SML
24_157,glucose,2,0,BBD
24_158,glucose,2,0,HBBD
24_159,glucose,2,0,SML
24_160,glucose,3,0,BBD
24_161,glucose,3,0,HBBD
24_162,glucose,3,0,SML
24_163,glucose,1,5,BBD
24_164,glucose,1,5,HBBD
24_165,glucose,1,5,SML
24_166,glucose,2,5,BBD
24_167,glucose,2,5,HBBD
24_168,glucose,2,5,SML
24_169,glucose,3,5,BBD
24_170,glucose,3,5,HBBD
24_171,glucose,3,5,SML
24_172,glucose,1,15,BBD
24_173,glucose,1,15,HBBD
24_174,glucose,1,15,SML
24_175,glucose,2,15,BBD
24_176,glucose,2,15,HBBD
24_177,glucose,2,15,SML
24_178,glucose,3,15,BBD
24_179,glucose,3,15,HBBD
24_180,glucose,3,15,SML
24_181,glucose,1,30,BBD
24_182,glucose,1,30,HBBD
24_183,glucose,1,30,SML
24_184,glucose,2,30,BBD
24_185,glucose,2,30,HBBD
24_186,glucose,2,30,SML
24_187,glucose,3,30,BBD
24_188,glucose,3,30,HBBD
24_189,glucose,3,30,SML
24_190,glucose,1,60,BBD
24_191,glucose,1,60,HBBD
24_192,glucose,1,60,SML
24_193,glucose,2,60,BBD
24_194,glucose,2,60,HBBD
24_195,glucose,2,60,SML
24_196,glucose,3,60,BBD
24_197,glucose,3,60,HBBD
24_198,glucose,3,60,SML
24_199,glucose,1,120,BBD
24_200,glucose,1,120,HBBD
24_201,glucose,1,120,SML
24_202,glucose,2,120,BBD
24_203,glucose,2,120,HBBD
24_204,glucose,2,120,SML
24_205,glucose,3,120,BBD
24_206,glucose,3,120,HBBD
24_207,glucose,3,120,SML
