sample,treatment,replicate,time,sample.type
24-208,Acetate,1,0,BBD
24-209,Acetate,1,0,HBBD
24-210,Acetate,1,0,SML
24-211,Acetate,2,0,BBD
24-212,Acetate,2,0,HBBD
24-213,Acetate,2,0,SML
24-214,Acetate,3,0,BBD
24-215,Acetate,3,0,HBBD
24-216,Acetate,3,0,SML
24-217,Acetate,1,5,BBD
24-218,Acetate,1,5,HBBD
24-219,Acetate,1,5,SML
24-220,Acetate,2,5,BBD
24-221,Acetate,2,5,HBBD
24-222,Acetate,2,5,SML
24-223,Acetate,3,5,BBD
24-224,Acetate,3,5,HBBD
24-225,Acetate,3,5,SML
24-226,Acetate,1,15,BBD
24-227,Acetate,1,15,HBBD
24-228,Acetate,1,15,SML
24-229,Acetate,2,15,BBD
24-230,Acetate,2,15,HBBD
24-231,Acetate,2,15,SML
24-232,Acetate,3,15,BBD
24-233,Acetate,3,15,HBBD
24-234,Acetate,3,15,SML
24-235,Acetate,1,30,BBD
24-236,Acetate,1,30,HBBD
24-237,Acetate,1,30,SML
24-238,Acetate,2,30,BBD
24-239,Acetate,2,30,HBBD
24-240,Acetate,2,30,SML
24-241,Acetate,3,30,BBD
24-242,Acetate,3,30,HBBD
24-243,Acetate,3,30,SML
24-244,Acetate,1,60,BBD
24-245,Acetate,1,60,HBBD
24-246,Acetate,1,60,SML
24-247,Acetate,2,60,BBD
24-248,Acetate,2,60,HBBD
24-249,Acetate,2,60,SML
24-250,Acetate,3,60,BBD
24-251,Acetate,3,60,HBBD
24-252,Acetate,3,60,SML
24-253,Acetate,1,120,BBD
24-254,Acetate,1,120,HBBD
24-255,Acetate,1,120,SML
24-256,Acetate,2,120,BBD
24-257,Acetate,2,120,HBBD
24-258,Acetate,2,120,SML
24-259,Acetate,3,120,BBD
24-260,Acetate,3,120,HBBD
24-261,Acetate,3,120,SML
