sample,treatment,replicate,time,sample.type
24_100,15N,1,0,BBD
24_101,15N,1,0,HBBD
24_102,15N,1,0,SML
24_103,15N,2,0,BBD
24_104,15N,2,0,HBBD
24_105,15N,2,0,SML
24_106,15N,3,0,BBD
24_107,15N,3,0,HBBD
24_108,15N,3,0,SML
24_109,15N,1,5,BBD
24_110,15N,1,5,HBBD
24_111,15N,1,5,SML
24_112,15N,2,5,BBD
24_113,15N,2,5,HBBD
24_114,15N,2,5,SML
24_115,15N,3,5,BBD
24_116,15N,3,5,HBBD
24_117,15N,3,5,SML
24_118,15N,1,15,BBD
24_119,15N,1,15,HBBD
24_120,15N,1,15,SML
24_121,15N,2,15,BBD
24_122,15N,2,15,HBBD
24_123,15N,2,15,SML
24_124,15N,3,15,BBD
24_125,15N,3,15,HBBD
24_126,15N,3,15,SML
24_127,15N,1,30,BBD
24_128,15N,1,30,HBBD
24_129,15N,1,30,SML
24_130,15N,2,30,BBD
24_131,15N,2,30,HBBD
24_132,15N,2,30,SML
24_133,15N,3,30,BBD
24_134,15N,3,30,HBBD
24_135,15N,3,30,SML
24_136,15N,1,60,BBD
24_137,15N,1,60,HBBD
24_138,15N,1,60,SML
24_139,15N,2,60,BBD
24_140,15N,2,60,HBBD
24_141,15N,2,60,SML
24_142,15N,3,60,BBD
24_143,15N,3,60,HBBD
24_144,15N,3,60,SML
24_145,15N,1,120,BBD
24_146,15N,1,120,HBBD
24_147,15N,1,120,SML
24_148,15N,2,120,BBD
24_149,15N,2,120,HBBD
24_150,15N,2,120,SML
24_151,15N,3,120,BBD
24_152,15N,3,120,HBBD
24_153,15N,3,120,SML
