label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,note,compound,compoundId,expectedRtDiff,ppmDiff,parent,blank1,blank2,blank3,Blank4,Blank5,purH-1,purH-1-2,purH-2,purH-2-2,purH-3,purH-3-2,wt-1,wt-1-2,wt-2,wt-2-2,wt-3,wt-3-2
,0,1,1,102.0557,4.102016,0.5148894,,4-aminobutyrate,C00334,-1,9776.428,102.0557,303179.6,302796.4,274130.6,195954,192205.9,1549779,531378.2,3613375,564202,2678712,706592.9,1325271,428659.2,3507530,610290.3,560100.6,835747.2
,0,2,0,102.0557,4.093522,0.4738685,,dimethylglycine,C01026,-1,9776.428,102.0557,256265.1,260381.7,236431.7,174717.5,164607.9,1512224,501998.6,3550800,529368.1,2643030,654009.5,1289522,378768.2,3469842,578294.8,503175.1,798779.6
,0,3,5,105.0189,5.34783,0.7984508,,glycerate,C00258,-1,9504.487,105.0189,1.61E+07,3.25E+07,3.33E+07,1.49E+07,1.47E+07,1.97E+07,2.50E+07,3.78E+07,2.05E+07,6.69E+07,1.75E+07,1.66E+07,1.68E+07,3.36E+07,1.83E+07,1.65E+07,2.03E+07
,0,4,11,111.0197,7.790163,0.859292,,uracil,C00106,-1,8994.364,111.0197,53697.94,26599.92,21739.39,24545.54,11618.72,6749930,4687745,2.68E+07,6449820,1.87E+07,4315966,1496095,358528.9,5743438,1510350,3605908,563768.9
,0,5,6,111.0197,1.822194,0.849151,,uracil,C00106,-1,8994.433,111.0197,25344.41,3836.807,9119.698,13402.73,1942.166,3744.047,12223.79,0,3362.033,613033.5,21282.04,54003.83,169584.8,1529827,354601.9,1031561,60773.78
,0,6,2,114.0557,1.473296,0.7795836,,proline,C00148,-1,8757.105,114.0557,20468.68,12382.23,44293.34,16166.8,36409.39,40637.54,42029.8,273417.8,35798.05,424088.4,66579.02,31297.89,37618.74,34258.81,22831.55,25273.75,23804.12
,0,7,0,114.0557,1.447193,0.4811586,,proline,C00148,-1,8756.974,114.0557,146820,96531.77,113708.4,66574.23,64844.88,183835.3,181872.8,330379.4,88102.25,511921.9,115697.1,118663,107915.4,179321.4,95252.09,82952.66,58788.63
,0,8,6,115.0033,10.69315,0.813903,,fumarate,C00122,-1,8685.771,115.0033,521276.9,469465.4,469820.7,65885.67,98144.31,2169750,1035421,2853160,1013224,4587209,1199988,1753797,1429530,4634037,1279650,1328641,1232229
,0,9,12,115.0034,11.22772,0.7399456,,fumarate,C00122,-1,8685.312,115.0034,25116.16,51894.62,31153.06,11186.62,9558.426,1.76E+07,1.09E+07,1.18E+07,6832438,1.36E+07,5201600,2.47E+07,1.88E+07,2.99E+07,2.32E+07,2.73E+07,2.51E+07
,0,10,10,115.0034,12.11118,0.8425426,,fumarate,C00122,-1,8684.851,115.0034,55443.93,52764.93,44657.2,57313.53,39802.95,2444422,2113676,2355531,1363410,5223382,1458882,5446671,4843664,1.25E+07,6610718,7591375,6738433
,0,11,6,115.0396,7.938589,0.6403685,,2-keto-isovalerate,C00141,-1,8683.771,115.0396,3160479,623766.3,1186544,928683.9,1465161,2386766,4136879,1.47E+07,4117324,1.55E+07,4848232,2155601,4585062,1.26E+07,4784199,2815801,6090731
,0,12,12,115.0397,12.02818,0.8188114,,2-keto-isovalerate,C00141,-1,8683.18,115.0397,1352236,862249.8,284079.6,558608.7,200673.7,2.37E+07,2.37E+07,2.58E+07,1.63E+07,1.16E+08,1.58E+07,2.60E+07,3.70E+07,1.05E+08,4.32E+07,3.97E+07,3.09E+07
,0,13,5,116.0466,1.460093,0.8425586,,Guanidoacetic acid,C00581,-1,8604.411,116.0466,0,0,0,0,0,11475.97,5145.868,47326.55,9042.286,66558.22,6627.192,0,2421.6,5552.433,555.2458,0,535.4723
,0,14,8,116.0502,14.31393,0.8195679,,indole,C16074,-1,8607.831,116.0502,0,0,0,0,0,18385.19,16320.23,20595.99,22826.71,46003.3,15286.57,9661.007,1448.53,15344.36,6848.552,16043.31,533.1065
,0,15,6,116.0504,1.459625,0.8490776,,indole,C16074,-1,8606.201,116.0504,0,0,0,0,0,37103.15,10445.39,83665.05,21163.87,131887.9,22485.48,3955.006,5007.698,10019.89,1600.792,0,2670.452
,0,16,11,116.0713,1.547137,0.8442683,,betaine,C00719,-1,8606.538,116.0713,106272.1,10151.38,9011.246,4839.258,4806.481,2.32E+08,1.16E+08,2.46E+08,1.36E+08,5.63E+08,1.36E+08,3.71E+07,4.15E+07,1.07E+08,4.14E+07,3.48E+07,3.48E+07
,0,17,2,116.0714,11.38601,0.6845367,,betaine,C00719,-1,8606.017,116.0714,20940.21,17316.44,8795.262,12674.11,9466.401,1144768,429754.6,1357857,641918.8,2312643,478188.3,214305,113940.2,619018.1,131410.7,264477.6,83402.67
,0,18,2,116.0714,11.38488,0.6150211,,valine,C00183,-1,8605.756,116.0714,54211.23,28555.3,17620.1,24503.21,20260.21,1309574,495227,1434983,708017.7,2414222,567036.8,246666.6,125357.1,669254.1,177008.2,312242.2,98330.07
,0,19,16,117.0191,10.47455,0.8370141,,Methylmalonic acid,C02170,-1,8536.725,117.0191,1.52E+07,7100436,1.06E+07,5362912,4500664,4.37E+07,2.56E+07,5.84E+07,2.49E+07,1.58E+08,2.73E+07,7.80E+07,6.32E+07,3.55E+08,9.33E+07,1.67E+08,6.17E+07
,0,20,0,118.0506,1.198693,0.391611,,homoserine,C00263,-1,8463.46,118.0506,55699.51,67781.54,65356.03,32817.64,31626.59,1579644,1575396,160780.8,774261.8,3448299,2000210,450067.5,1284525,287527.4,216557.4,38884.59,1034145
,0,21,4,118.0505,5.176452,0.7948419,,threonine,C00188,-1,8464.229,118.0505,650879.1,618725.8,632997.2,233933.1,261107.2,636037.9,185607.9,916485.6,511096.4,1540609,389115,522863,384920.8,1558142,586651.8,36713.77,698945.1
,0,22,4,119.0169,2.868186,0.5993817,,3-S-methylthiopropionate,C08276,-1,8394.816,119.0169,0,0,0,500.528,0,56101.68,23722.6,119118.6,37967.54,102154.2,19983.51,35994.31,16969.18,104436.6,39714.7,100886,19342.05
,0,23,0,121.0404,8.608315,0.3404014,,nicotinamide,C00153,-1,8255.633,121.0404,59742.43,20037.75,12734.35,12281.13,7555.705,265215,119821.3,342613.4,107920.6,390046.9,120560.6,244087.1,127479.9,373742.2,140694.2,281247.5,107687.6
,0,24,0,122.0243,9.612501,0.2167549,,nicotinate,C00253,-1,8190.658,122.0243,556349.7,361618.3,362053,124462.9,103939.9,444525.7,604396.2,807529.8,267915.8,1024998,346737.2,506576.4,414198.6,1232478,376385.5,509185.2,431560.9
,0,25,0,122.0243,12.7324,0.2715446,,nicotinate,C00253,-1,8190.534,122.0243,463894.4,277219.3,202865.7,77674.05,71205.13,474856.7,261560.8,519434.2,263088.6,865319.9,273249.6,1162926,449593.2,1816792,734918.7,1394725,561070.4
,0,26,0,125.0353,3.280622,0.3610186,,thymine,C00178,-1,7994.577,125.0353,210142.6,144581.7,182209.9,101845.8,101312.3,256326,153186.7,844659.6,170911.7,1107719,285990.5,297363.8,113488,1020574,197522.5,651983.4,108557.2
